titel,url,code,pageID
User:Farang Rak Tham/How to create a good article on a Buddhist topic,http://menadoc.bibliothek.uni-halle.de/,en,62260239
Sunni Islam,http://menadoc.bibliothek.uni-halle.de/content/pageview/467635,en,29402
Talk:Algol,http://menadoc.bibliothek.uni-halle.de/content/titleinfo/417293,en,6201684
Talk:Algol,http://menadoc.bibliothek.uni-halle.de/content/titleinfo/459362,en,6201684
Book of Fixed Stars,http://menadoc.bibliothek.uni-halle.de/content/titleinfo/459362,en,317238
Talk:Asherah,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/73832,en,505080
"Tira, Israel",http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/56966,en,323309
Qalansawe,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/56952,en,323347
Qalansawe,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/56953,en,323347
Gustav Haloun,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/93809,en,5319929
Paishachi,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/56372,en,19048834
Pali,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/56372,en,38337
Midian,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/55820,en,316240
Scientific method,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/30949,en,26833
Talk:Science/Archive 8,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/30949,en,47751814
History of optics,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/30949,en,2627738
Wilhelm König,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/75657,en,60231807
Lugal-ushumgal,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/111456,en,63537397
Gello,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/109848,en,22186421
Gello,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/110024,en,22186421
Wolfgang Diewerge,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/152063,en,64032024
Sarıaydın inscription,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/102634,en,65331083
User talk:Ancheta Wis/sandbox,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/30949,en,60027331
Talk:Eshmunazar II sarcophagus,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/pageview/7907,en,1167340
Zeitschrift der Deutschen Morgenländischen Gesellschaft,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/structure/2327,en,7852181
Wikipedia:WikiProject Palestine/Books,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/structure/2327,en,22087607
Franz Xaver Kugler,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/structure/108843,en,2228933
Franz Xaver Kugler,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/structure/109258,en,2228933
User:JimRenge/sandbox,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/structure/2327,en,40075063
User talk:Farang Rak Tham/Archive 2,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/structure/2327,en,56546005
Wikipedia:WikiProject Israel/Books,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/structure/2327,en,67351059
Suliman Bashear,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/150543,en,4552353
Deutsche Morgenländische Gesellschaft,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/150669,en,3606937
Yaʿqūb ibn Ṭāriq,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/21506,en,1741183
"Talk:Tira, Israel",http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/64048,en,5130331
Qalansawe,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/64048,en,323347
Jaljulia,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/64048,en,9018791
"Tira, Israel",http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/64048,en,323309
Hamdanid dynasty,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/20945,en,1212383
Hamdanid dynasty,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/20980,en,1212383
Luigi Pio Tessitori,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/64354,en,13340314
Mesha Stele,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/21524,en,344319
Taqiya,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/63682,en,354821
Tunisian Arabic,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/150669,en,1310454
Shilha language,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/62778,en,730274
Shilha language,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/63781,en,730274
Nibiru (Babylonian astronomy),http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/149731,en,22669251
Yaqut al-Hamawi,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/21259,en,727498
Medicine in the medieval Islamic world,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/48026,en,2106879
Assyrian Neo-Aramaic,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/94045,en,1352105
Ibn al-Nadim,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/93107,en,934310
Johann Fück,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/93107,en,42625478
User:LouisAragon/sandbox/Dagh,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/1467051,en,56232433
Wikipedia:WikiProject Resource Exchange/Resource Request/Archive 45,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/1467051,en,57033077
Syriac alphabet,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/94045,en,533521
Benno Landsberger,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/149518,en,3861712
Shulba Sutras,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/63295,en,1884188
Shulba Sutras,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/63354,en,1884188
User talk:Kansas Bear/Archive 3,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/1467051,en,23419144
Taishō Tripiṭaka,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/93250,en,23920571
Theory of forms,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/93820,en,25754129
Talk:Abd al-Ghani al-Nabulsi,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/48143,en,17047637
Johann Gildemeister,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/48143,en,20283407
Ar'ara,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/64048,en,10497534
Khadem Beg Talish,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/150900,en,64947088
The Nabataean Agriculture,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/21126,en,52135207
The Nabataean Agriculture,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/47761,en,52135207
The Nabataean Agriculture,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/117005,en,52135207
Microcosm-macrocosm analogy,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/152131,en,247908
"As above, so below",http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/152131,en,43789417
The Nabataean Agriculture,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/150899,en,52135207
Ar'ara,http://menadoc.bibliothek.uni-halle.de/dmg/periodical/zoom/56977,en,10497534
Ibn al-Nadim,"http://menadoc.bibliothek.uni-halle.de/dmg/search?operation=searchRetrieve&query=bib.personalName%3D%22Goldziher,%20Ig.%22%20and%20vl.domain%3Ddmg%20sortBy%20dc.title/asc",en,934310
Talk:The Nabataean Agriculture/GA1,http://menadoc.bibliothek.uni-halle.de/download/pdf/150899?name=Artificial%20man%20and%20spontaneous%20generation%20in%20Ibn%20Wahshiyya's%20al-Filah%20an-Nabatiy,en,67019162
Talk:The Nabataean Agriculture,http://menadoc.bibliothek.uni-halle.de/download/pdf/150899?name=Artificial%20man%20and%20spontaneous%20generation%20in%20Ibn%20Wahshiyya's%20al-Filah%20an-Nabatiy,en,66276145
